,seed_id
C00001_c,cpd00001
C00002_c,cpd00002
C00003_c,cpd00003
C00004_c,cpd00004
C00005_c,cpd00005
C00006_c,cpd00006
C00007_c,cpd00007
C00008_c,cpd00008
C00009_c,cpd00009
C00010_c,cpd00010
C00011_c,cpd00011
C00013_c,cpd00012
C00014_c,cpd00013
C00015_c,cpd00014
C00016_c,cpd00015
C00018_c,cpd00016
C00019_c,cpd00017
C00020_c,cpd00018
C00021_c,cpd00019
C00022_c,cpd00020
C00024_c,cpd00022
C00025_c,cpd00023
C00026_c,cpd00024
C00027_c,cpd00025
C00031_c,cpd00027
C00033_c,cpd00029
C00035_c,cpd00031
C00036_c,cpd00032
C00037_c,cpd00033
C00041_c,cpd00035
C00043_c,cpd00037
C00044_c,cpd00038
C00047_c,cpd00039
C00049_c,cpd00041
C00051_c,cpd00042
C00054_c,cpd00045
C00055_c,cpd00046
C00059_c,cpd00048
C00061_c,cpd00050
C00062_c,cpd00051
C00063_c,cpd00052
C00064_c,cpd00053
C00065_c,cpd00054
C00067_c,cpd00055
C00068_c,cpd00056
C00073_c,cpd00060
C00074_c,cpd00061
C00075_c,cpd00062
C00077_c,cpd00064
C00078_c,cpd00065
C00079_c,cpd00066
C00080_c,cpd00067
C00081_c,cpd00068
C00082_c,cpd00069
C00084_c,cpd00071
C00085_c,cpd00072
C00086_c,cpd00073
C00092_c,cpd00079
C00095_c,cpd00082
C00096_c,cpd00083
C00097_c,cpd00084
C00100_c,cpd00086
C00101_c,cpd00087
C00103_c,cpd00089
C00104_c,cpd00090
C00105_c,cpd00091
C00106_c,cpd00092
C00111_c,cpd00095
C00112_c,cpd00096
C00114_c,cpd00098
C00116_c,cpd00100
C00117_c,cpd00101
C00118_c,cpd00102
C00119_c,cpd00103
C00122_c,cpd00106
C00123_c,cpd00107
C00127_c,cpd00111
C00129_c,cpd00113
C00130_c,cpd00114
C00131_c,cpd00115
C00132_c,cpd00116
C00134_c,cpd00118
C00135_c,cpd00119
C00137_c,cpd00121
C00138_c,cpd11620
C00139_c,cpd11621
C00143_c,cpd00125
C00144_c,cpd00126
C00147_c,cpd00128
C00148_c,cpd00129
C00149_c,cpd00130
C00152_c,cpd00132
C00154_c,cpd00134
C00155_c,cpd00135
C00158_c,cpd00137
C00159_c,cpd00138
C00162_c,NA
C00163_c,cpd00141
C00166_c,cpd00143
C00169_c,cpd00146
C00170_c,cpd00147
C00183_c,cpd00156
C00188_c,cpd00161
C00189_c,cpd00162
C00197_c,cpd00169
C00199_c,cpd00171
C00201_c,cpd00173
C00206_c,cpd00177
C00212_c,cpd00182
C00224_c,cpd00193
C00229_c,cpd11493
C00231_c,cpd00198
C00234_c,cpd00201
C00235_c,cpd00202
C00236_c,cpd00203
C00239_c,cpd00206
C00242_c,cpd00207
C00249_c,cpd00214
C00251_c,cpd00216
C00253_c,cpd00218
C00255_c,cpd00220
C00256_c,cpd00221
C00262_c,cpd00226
C00269_c,cpd11427
C00275_c,cpd00235
C00279_c,cpd00236
C00286_c,cpd00241
C00288_c,cpd00242
C00294_c,cpd00246
C00295_c,cpd00247
C00299_c,cpd00249
C00302_c,cpd00023
C00307_c,cpd00256
C00311_c,cpd00260
C00315_c,cpd00264
C00325_c,cpd00272
C00329_c,cpd00276
C00337_c,cpd00282
C00341_c,cpd00283
C00342_c,cpd11421
C00343_c,cpd11420
C00344_c,cpd11652
C00345_c,cpd00284
C00346_c,cpd00285
C00352_c,cpd00288
C00354_c,cpd00290
C00357_c,cpd00293
C00360_c,cpd00294
C00361_c,cpd00295
C00363_c,cpd00297
C00364_c,cpd00298
C00365_c,cpd00299
C00376_c,cpd00304
C00378_c,cpd00305
C00385_c,cpd00309
C00407_c,cpd00322
C00415_c,cpd00330
C00416_c,cpd11422
C00417_c,cpd00331
C00438_c,cpd00343
C00447_c,cpd00349
C00448_c,cpd00350
C00454_c,cpd00354
C00458_c,cpd00356
C00459_c,cpd00357
C00460_c,cpd00358
C00473_c,cpd00365
C00499_c,cpd00388
C00504_c,cpd00393
C00506_c,cpd00395
C00559_c,cpd00438
C00568_c,cpd00443
C00570_c,cpd00444
C00575_c,cpd00446
C00577_c,cpd00448
C00588_c,cpd00457
C00590_c,cpd00458
C00603_c,cpd00465
C00606_c,cpd00467
C00620_c,cpd00475
C00631_c,cpd00482
C00636_c,cpd00485
C00641_c,cpd11423
C00655_c,cpd00497
C00669_c,cpd00506
C00670_c,cpd00507
C00673_c,cpd00510
C00705_c,cpd00533
C00750_c,cpd00558
C00787_c,cpd11751
C00857_c,cpd00638
C00870_c,cpd00646
C00882_c,cpd00655
C00886_c,cpd11770
C00921_c,cpd00683
C00935_c,cpd00691
C00942_c,cpd00697
C00957_c,cpd00706
C00991_c,cpd11794
C00996_c,cpd11795
C00999_c,cpd11797
C01079_c,cpd00791
C01094_c,cpd00802
C01103_c,cpd00810
C01137_c,cpd00837
C01157_c,cpd00851
C01165_c,cpd00858
C01168_c,cpd00859
C01179_c,cpd00868
C01185_c,cpd00873
C01194_c,cpd11822
C01217_c,cpd00895
C01222_c,cpd00900
C01228_c,cpd00905
C01236_c,cpd00911
C01245_c,cpd00916
C01269_c,cpd00932
C01277_c,cpd11837
C01300_c,cpd00954
C01344_c,cpd00976
C01345_c,cpd00977
C01346_c,cpd00978
C01419_c,cpd01017
C01528_c,cpd01078
C01635_c,cpd11906
C01636_c,cpd11907
C01637_c,cpd11908
C01638_c,cpd11909
C01639_c,cpd11910
C01640_c,cpd11911
C01641_c,cpd11912
C01642_c,cpd11913
C01643_c,cpd11914
C01644_c,cpd11915
C01645_c,cpd11916
C01646_c,cpd11917
C01647_c,cpd11918
C01648_c,cpd11919
C01649_c,cpd11920
C01650_c,cpd11921
C01651_c,cpd11922
C01652_c,cpd11923
C01653_c,cpd11924
C01672_c,cpd01155
C01931_c,cpd01326
C02047_c,cpd12003
C02090_c,cpd01418
C02163_c,cpd12036
C02211_c,cpd12048
C02282_c,cpd12060
C02325_c,cpd01554
C02380_c,cpd01590
C02412_c,cpd12100
C02430_c,cpd12105
C02553_c,cpd12132
C02554_c,cpd12133
C02646_c,cpd01722
C02702_c,cpd12164
C02730_c,cpd01772
C02839_c,cpd12194
C02984_c,cpd12226
C02987_c,cpd12227
C02988_c,cpd12228
C02992_c,cpd12229
C03021_c,cpd12235
C03028_c,cpd01937
C03125_c,cpd12255
C03127_c,cpd12256
C03160_c,cpd02021
C03170_c,cpd02026
C03263_c,cpd02083
C03294_c,cpd12285
C03360_c,cpd02135
C03402_c,cpd12313
C03451_c,cpd02182
C03511_c,cpd12335
C03512_c,cpd12336
C03557_c,cpd02233
C03688_c,cpd12370
C03723_c,cpd12378
C03794_c,cpd02375
C03906_c,cpd02428
C03912_c,cpd02431
C04006_c,cpd02484
C04216_c,cpd02590
C04230_c,cpd02601
C04232_c,cpd02602
C04281_c,cpd02625
C04377_c,cpd02679
C04494_c,cpd02740
C04501_c,cpd02611
C04549_c,cpd12572
C04574_c,cpd02229
C04637_c,cpd12582
C04646_c,cpd02832
C04677_c,cpd02851
C04807_c,cpd02920
C04823_c,cpd02921
C05172_c,cpd03078
C05227_c,cpd12681
C05335_c,cpd03163
C05336_c,cpd12704
C05382_c,cpd00238
C05512_c,cpd03279
C05527_c,cpd03284
C05528_c,cpd03285
C05673_c,cpd03379
C05674_c,cpd03380
C05684_c,cpd03387
C05686_c,cpd03388
C05691_c,cpd03392
C05692_c,cpd03393
C05697_c,cpd03396
C05698_c,cpd03397
C05703_c,cpd03401
C05726_c,cpd12344
C05729_c,cpd16496
C05841_c,cpd03471
C05946_c,cpd00830
C05947_c,cpd01974
C05980_c,cpd12801
C05983_c,cpd03560
C05993_c,cpd03566
C06112_c,cpd12828
C06113_c,cpd12829
C06459_c,cpd03876
C06481_c,cpd15565
C06482_c,cpd15563
C07648_c,cpd04809
C07649_c,cpd04810
C09332_c,cpd06227
C11355_c,cpd08210
C11526_c,cpd08361
C12205_c,cpd08985
